number,trial_code,form_id,surveyor_name,entreprenuer_strata,demo_location,demo_location_other,trial_name,bizops_name,bizops_product,demo_nationality,demo_nationality_other,demo_gender,demo_age,demo_educlevel,demo_educlevel_level,demo_incomeearner_only,demo_incomeearner_count,demo_primaryincome,demo_primaryincome_other,demo_primaryincome_UNHCR,demo_primaryincome_own_biz,demo_primaryincome_no_stable,demo_primaryincome_no_stable_looking,demo_primaryincome_part_time,demo_primaryincome_full_time,demo_primaryincome_other_biz,demo_primaryincome_extra,demo_primaryincome_write,bizops_sector,bizops_sector_biz,bizops_sector_other,bizops_elec_computer,bizops_elec_smart_phone,bizops_elec_feature_phone,bizops_elec_tablet,bizops_elec_none,bizops_elec_extra,bizops_firstsale_date,bizops_firstsale_today,bizops_operation_period,bizops_age_range,bizops_register_kra,employees_count_fulltime,employees__fulltime_worktime_week,employees_count_parttime,employees__parttime_worktime_week,employees_count_casual,employees_count_temp,employees_temp_reason,employees_count_total,employees_fulltime_age_range_0_17,employees_fulltime_age_range_18_30,employees_fulltime_age_range_31_50,employees_fulltime_age_range_51,employees_fulltime_age_range_none,employees_fulltime_age_range_extra,employees_parttime_age_range_0_17,employees_parttime_age_range_18_30,employees_parttime_age_range_31_50,employees_parttime_age_range_51,employees_parttime_age_range_none,employees_parttime_age_range_extra,employees_casual_age_range_0_17,employees_casual_age_range_18_30,employees_casual_age_range_31_50,employees_casual_age_range_51,employees_casual_age_range_none,employees_casual_age_range_extra,employees_count_gender_m,employees_count_gender_f,employees_count_refugee,bizops_motivation,bizops_motivation_other,bizops_fin_new_6,bizops_fin_loans_family,bizops_fin_loans_groups,bizops_fin_MFI_banks,bizops_fin_donation_grants,bizops_fin_investor,bizops_fin_other,bizops_fin_extra,bizops_fin_other_write,bizops_fin_amt_family,bizops_fin_amt_loans_groups,bizops_fin_amt_MFI_banks,bizops_fin_amt_NGO,bizops_fin_amt_investor,bizops_fin_not_apply,bizops_fin_not_apply_write,bizops_fin_bank_acc,bizops_fin_bank_acc_why,bizops_fin_bank_acc_why_write,customer_count_monthly,customer_main_individual,customer_main_household,customer_main_community,customer_main_smbiz,customer_main_lbiz,customer_main_govt,customer_main_NGOs,customer_main_other,customer_main_extra,customer_main_other_write,records_sales_monthly,salesrev_avgrevenue_last_year,salesrev_avgrevenue_monthly_baseline,salesrev_avgrevenue_fluctuate,salesrev_avgrevenue_season_fluctuate,salesrev_avgrevenue_most_jan,salesrev_avgrevenue_most_feb,salesrev_avgrevenue_most_mar,salesrev_avgrevenue_most_apr,salesrev_avgrevenue_most_may,salesrev_avgrevenue_most_jun,salesrev_avgrevenue_most_jul,salesrev_avgrevenue_most_aug,salesrev_avgrevenue_most_sept,salesrev_avgrevenue_most_oct,salesrev_avgrevenue_most_nov,salesrev_avgrevenue_most_dec,salesrev_avgrevenue_most_none,salesrev_avgrevenue_most_other,salesrev_avgrevenue_most_extra,salesrev_avgrevenue_least_none,salesrev_avgrevenue_least_jan,salesrev_avgrevenue_least_feb,salesrev_avgrevenue_least_mar,salesrev_avgrevenue_least_apr,salesrev_avgrevenue_least_may,salesrev_avgrevenue_least_jun,salesrev_avgrevenue_least_jul,salesrev_avgrevenue_least_aug,salesrev_avgrevenue_least_sept,salesrev_avgrevenue_least_oct,salesrev_avgrevenue_least_nov,salesrev_avgrevenue_least_dec,salesrev_avgrevenue_least_other,salesrev_avgrevenue_least_extra,bizops_suppliers_count,bizops_transporters_count,bizops_transporters_foot,bizops_transporters_bicycle,bizops_transporters_motorbike,bizops_transporters_car,bizops_transporters_trucks,bizops_transporters_other,bizops_transporters_extra,bizops_transporters_other_write,bizops_actors_supply_chain,bizops_actors_supply_chain_write,demo_biz_development,demo_biz_development_write,demo_biz_development_skills_acc,demo_biz_development_skills_hr,demo_biz_development_skills_marketing,demo_biz_development_skills_fin_mgmt,demo_biz_development_skills_dig_fin_skills,demo_biz_development_skills_new_it,demo_biz_development_skills_sales,demo_biz_development_skills_planning,demo_biz_development_skills_other,demo_biz_development_skills_extra,demo_biz_development_skills_write,sales,marketing,operation_management,bookkeeping,biz_plan,cashflow_mgmt,inventory_mgmt,biz_network_partnerships,learn_about_social_media,learn_about_news_papers,learn_about_past_clients,learn_about_aec_staff,learn_about_others,learn_about_extra,learn_about_other_specify,meals_day_count,meals_day_not_eating_count,meals_meat_count,expense_clothing,assets_acquired_6,assets_acquired_other,fuel_cooking,share_other,share_other_write,thanks,survey_complete,survey_complete_time,survey_start_time,username,received_on,Year,Department,asset_indicator,survey_name
143,KEN-180,309f2254-d385-4530-9938-4c37cbe52823,Nachomo,refugee-client,kakuma_1,,control_group,Africa Shop,Food stuff,south_sudan,,0,42,Primary_school_diploma(p6),Finished Primary School,1,3,Self-employment/my_business,,0,1,0,0,0,0,0,0,,Retail/Fashion,Retail,,0,0,0,0,1,0,9/1/92,2/1/20,27,> 6 years,0,3,10,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,To_increase_income_independently,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_do_not_have_the_need_for_credit,,0,"I_don't_need_it,_I_use_mobile_money_for_saving_and_spending_cash",,576,0,0,1,0,0,0,0,0,0,0,1,75000,6250,Yes_somewhat_fluctuating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,,1,0,1,0,0,0,1,0,0,0,0,3,4,3,3,1,1,2,1,0,0,0,1,0,0,0,,0,,,,,0,i neeed a loan,,0,1,9/18/19 8:21,9/18/19 8:05,aeck_20,9/18/19 13:51,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
145,KEN-183,a5afd12d-bf58-42d8-a269-d33cbc340b71,Samuel Mwangangi,refugee-client,kakuma_2,,control_group,Nicol Agaba,Clothes,Congolese,,1,28,High_school_graduate_(A2),Finished High school graduate,1,4,Self-employment/my_business,,1,0,0,0,0,0,0,0,,Retail/Fashion,Retail,,0,1,0,0,0,0,9/15/15,2/1/20,4,4-6 years,0,1,56,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,To_increase_income_independently,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_do_not_qualify_for_credit,,1,,,280,1,1,1,0,0,0,0,0,0,0,1,120000,10000,Yes_strongly_fluctuating,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,,,,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0,,,,,0,none,,welcome,1,9/18/19 12:44,9/18/19 12:35,aeck_19,9/18/19 13:46,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
146,KEN-184,7d2f067a-03fa-405e-ad45-597ac5f624c9,Tadicha,refugee-client,kakuma_1,,control_group,united shop,food item,south_sudan,,0,32,High_school_graduate_(A2),Finished High school graduate,1,5,Self-employment/my_business,,1,0,0,0,0,0,0,0,,Retail/Fashion,Retail,,0,0,0,0,1,0,9/18/06,2/1/20,13,> 6 years,1,1,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,To_create_my_own_job_due_to_lack_of_employment,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_have_never_thought_about_credit_as_an_option,,0,"I_don't_need_it,_I_use_mobile_money_for_saving_and_spending_cash",,100,1,0,0,0,0,0,0,0,0,0,1,600000,50000,Yes_somewhat_fluctuating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,3,2,2,4,2,3,2,1,0,0,0,1,0,0,0,,0,,,,,0,help me to provide acesse to loan,,thank you,1,9/18/19 7:28,9/18/19 7:11,aeck_15,9/18/19 13:49,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
147,KEN-185,1dc42f46-9b7b-458b-b4c9-21cff4b0d6a4,Abdirahman Said,refugee-client,kakuma_2,,control_group,Horseet shop,"sugar, foodstaff",somalian,,1,52,High_school_graduate_(A2),Finished High school graduate,1,15,Self-employment/my_business,,1,0,0,0,0,0,0,0,,Retail/Fashion,Retail,,0,1,0,0,0,0,1/1/14,2/1/20,6,4-6 years,0,3,84,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,To_create_my_own_job_due_to_lack_of_employment,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_do_not_trust_financial_institutions,,0,I_want_to_keep_my_money_in_cash,,1000,1,0,0,0,0,0,0,0,0,0,1,360000,30000,Yes_strongly_fluctuating,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,"I resell donuts, groundnut and others for for different people",,,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0,,,,,0,no,,0,1,9/18/19 12:42,9/18/19 12:23,aeck_14,9/18/19 13:52,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
152,KEN-190,323699db-78c0-420f-8820-ccb58a7e33d7,Samuel Mwangangi,kenyan_client,kalobeyei,,control_group,Mary Angole,vegetables,kenyan,,1,42,No_formal_education,No Formal Education,1,8,Self-employment/my_business,,0,0,0,1,0,0,0,0,,Agribusiness_-_Food_Processing,Agribusiness,,0,0,1,0,0,0,6/15/98,2/1/20,21,> 6 years,0,1,54,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,To_create_my_own_job_due_to_lack_of_employment,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_do_not_qualify_for_credit,,1,,,1800,1,1,1,0,0,0,0,0,0,0,1,240000,20000,Yes_somewhat_fluctuating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,,,,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0,,,,,0,none,,welcome,1,9/20/19 7:55,9/20/19 7:46,aeck_17,9/20/19 11:19,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
157,KEN-197,a610c3c3-6fd4-4758-bd1a-d30bff110f2b,Jane,refugee-client,kakuma_4,,test_group,Nimubona,clothes and retail shop,Burundian,,0,30,4,Attended High School,0,4,Self-employment/my_business,,0,1,0,0,0,0,0,0,,10,Retail,,0,0,0,1,0,0,2/15/15,2/1/20,4,4-6 years,0,2,91,0,0,0,,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,To_create_my_own_job_due_to_lack_of_employment,just to help my family,0,0,0,0,0,0,0,0,,0,0,0,0,0,_I_have_applied_but_I_was_rejected,,1,,,1200,0,1,0,0,0,0,0,0,0,0,1,540000,45000,Yes_somewhat_fluctuating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,1,0,0,0,0,0,,participate_past_bdp,,0,0,1,1,0,0,0,0,0,0,0,3,3,2,4,3,2,4,1,0,0,0,1,0,0,0,3,0,2_week,1_6months,televison_tv,,4,0,,welcome,1,9/27/19 14:28,9/27/19 14:07,aeck_20,9/30/19 12:26,2019,MBS Kenya,1,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
159,KEN-199,a097dc5c-59d7-4c22-a069-a9420ce1157f,Nachomo,refugee-client,kakuma_4,,test_group,Nyamuch hotel,food and tea,south_sudan,,1,26,1,No Formal Education,1,11,Self-employment/my_business,,0,1,0,0,0,0,0,0,,10,Retail,,0,0,1,0,0,0,2/1/16,2/1/20,4,4-6 years,0,0,0,1,0,0,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,To_increase_income_independently,i want to grow my business in order to help my my family.,0,0,0,0,0,0,0,0,,0,0,0,0,0,_I_have_applied_but_I_was_rejected,,0,"I_don't_need_it,_I_use_mobile_money_for_saving_and_spending_cash",,540,1,0,0,0,0,0,0,0,0,0,0,20000,1667,Yes_somewhat_fluctuating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,participate_past_bdp,,0,0,0,0,0,0,1,0,0,0,0,3,2,1,1,1,1,2,3,0,0,0,1,0,0,0,2,0,3_more,2_month,chairs_table,,4,0,,0,1,9/27/19 14:22,9/27/19 14:07,aeck_14,9/30/19 12:27,2019,MBS Kenya,1,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
162,KEN-202,0d3cfbfe-d9d3-4162-b6be-66ab5f75ecab,vivian,kenyan_client,kakuma_town,,control_group,grocery shop,vegetables and fruits,kenyan,,1,57,No_formal_education,No Formal Education,1,9,Self-employment/my_business,,0,1,0,0,0,0,0,0,,Retail/Fashion,Retail,,0,0,1,0,0,0,1/1/13,2/1/20,7,> 6 years,0,1,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,To_increase_income_independently,,1,0,1,0,0,0,0,0,,0,10000,0,0,0,,,"Not_right_now,_but_yes_in_the_past",,,450,1,0,0,0,0,0,0,0,0,0,0,360000,30000,Yes_somewhat_fluctuating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,my saving group,,,0,0,0,0,0,0,1,0,0,0,0,2,2,3,1,1,3,3,2,0,0,0,1,0,0,0,,0,,,,,0,none,,0,1,9/19/19 7:42,9/19/19 7:31,aeck_14,9/19/19 14:13,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
163,KEN-203,c2cc1aa5-3b11-494e-87e2-291a260d85a7,Nachomo Onesmus,kenyan_client,kakuma_town,,control_group,Alice Traders,Vegetables and Hotel,kenyan,,1,44,Primary_school_diploma(p6),Finished Primary School,1,8,Self-employment/my_business,,0,1,0,0,0,0,0,0,,Retail/Fashion,Retail,,0,0,1,0,0,0,10/2/10,2/1/20,9,> 6 years,0,2,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,To_increase_income_independently,,1,0,1,0,0,0,0,0,,0,20000,0,0,0,,,1,,,30,1,0,0,0,0,0,0,0,0,0,1,140000,11667,Yes_somewhat_fluctuating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,1,0,1,0,0,0,1,0,0,0,0,5,3,4,3,2,3,2,4,0,0,0,1,0,0,0,,0,,,,,0,0,,0,1,9/19/19 7:59,9/19/19 7:45,aeck_15,9/19/19 14:13,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
165,KEN-205,b2b544fc-3d8e-43b0-a072-435676af6505,Chaddia,refugee-client,kakuma_4,,control_group,shop,"Sorghoun, beans, rice",Burundian,,1,34,High_school_graduate_(A2),Finished High school graduate,0,4,Self-employment/my_business,,1,0,0,0,0,0,0,0,,Retail/Fashion,Retail,,0,1,0,0,0,0,1/1/17,2/1/20,3,3 years,0,1,105,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,To_commercialize_an_innovative_idea,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_have_never_thought_about_credit_as_an_option,,0,Other,Mpesa,1500,1,0,0,0,0,0,0,0,0,0,0,1095000,91250,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,transporters,,,1,1,1,1,0,0,1,1,0,0,0,4,3,4,3,2,3,4,4,0,0,0,1,0,0,0,,0,,,,,0,"Thankful for the initiative and taking the step to rech out to them, looking forward to benefit more from our services and loans.",,0,1,9/19/19 12:54,9/19/19 12:39,aeck_19,9/19/19 14:15,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
166,KEN-208,5377468c-db60-4dca-a0be-986858843d1c,Saida,refugee-client,kalobeyei,,control_group,mungu nimwema,Clothes,Congolese,,1,24,No_formal_education,No Formal Education,1,1,UNHCR,,1,1,0,0,0,0,0,0,,Retail/Fashion,Retail,,0,1,0,0,0,0,1/1/18,2/1/20,2,2 years,0,1,56,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,To_increase_income_independently,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_have_never_thought_about_credit_as_an_option,,0,No_bank_nearby,,600,1,1,1,0,0,0,0,0,0,0,0,2520000,210000,Yes_strongly_fluctuating,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,,0,,,,,0,no,,Thank,1,9/20/19 8:06,9/20/19 7:44,aeck_21,9/20/19 11:13,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
176,KEN-222,f9af070b-5a32-4324-bb3a-3ed1fbc2e9d7,Nachomo,refugee-client,kakuma_2,,test_group,5,food stuff and non food stuffs,somalian,,1,51,4,Attended High School,1,8,Self-employment/my_business,,0,1,0,0,0,0,0,0,,10,Retail,,0,0,1,0,0,0,7/1/12,2/1/20,7,> 6 years,1,2,10,0,0,0,,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,To_increase_income_independently,To uplift his family life,1,1,0,0,0,0,0,0,,15000,0,0,0,0,,,1,,,1200,1,1,1,0,0,0,0,0,0,0,0,960000,80000,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,,no,,0,0,1,0,0,0,1,0,0,0,0,3,4,3,1,2,2,3,3,0,0,0,1,0,0,0,3,0,3_more,1_6months,cooking_utencils,,4,0,,0,1,11/1/19 11:23,11/1/19 11:03,aeck_20,11/4/19 6:32,2019,MBS Kenya,1,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
179,KEN-225,e00d302f-0c2c-46e2-8b1c-d14e36087ce8,Chaddia,refugee-client,kakuma3,,control_group,sell fish,fish,Congolese,,1,30,No_formal_education,No Formal Education,0,7,Self-employment/my_business,,0,0,0,0,1,0,0,0,,Retail/Fashion,Retail,,0,0,0,0,1,0,1/1/17,2/1/20,3,3 years,0,1,54,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,To_be_my_own_boss_or_have_personal_freedom,,0,0,0,0,0,0,0,0,,0,0,0,0,0,_I_have_applied_but_I_was_rejected,,0,Other,Mpesa,150,1,0,0,0,0,0,0,0,0,0,0,172800,14400,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,fishers,,,1,1,0,1,0,0,1,0,0,0,0,4,5,4,1,3,2,5,5,0,0,0,1,0,0,0,,0,,,,,0,no,,0,1,9/17/19 8:32,9/17/19 7:23,aeck_14,9/17/19 11:32,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
181,KEN-227,a74455d0-9c37-4456-9b3e-f55fe80f5fe4,Samuel Mwangangi,refugee-client,kakuma3,,control_group,Glocery mpesa and shop,shop,Ethiopian,,0,32,High_school_graduate_(A2),Finished High school graduate,1,3,Self-employment/my_business,,0,1,0,0,0,0,0,0,,bamba_chakula_food_store,Food Store (Bamba Chakula),,0,1,0,0,0,0,6/15/06,2/1/20,13,> 6 years,1,1,40,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,To_increase_income_independently,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_do_not_qualify_for_credit,,1,,,2800,1,1,1,0,0,0,0,0,0,0,1,3600000,300000,Yes_somewhat_fluctuating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,unhcr bamba chakula,,,1,1,1,1,1,1,1,1,0,0,0,3,2,2,3,2,1,3,2,0,0,0,1,0,0,0,,0,,,,,0,none,,welcome,1,9/17/19 8:46,9/17/19 8:32,aeck_17,9/17/19 11:31,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
183,KEN-229,4e6b207e-8ad9-4813-b4f8-3a0cb7d253c1,Abdirahman Said,refugee-client,kakuma3,,control_group,Faiza shop,Grocessart and Butchery,Sudanese,,1,35,High_school_graduate_(A2),Finished High school graduate,1,6,Self-employment/my_business,,1,0,0,0,0,0,0,0,,Agribusiness_-_Food_Processing,Agribusiness,,0,1,0,0,0,0,1/1/17,2/1/20,3,3 years,1,2,84,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,To_create_my_own_job_due_to_lack_of_employment,,0,0,0,0,0,0,0,0,,0,0,0,0,0,_I_have_applied_but_I_was_rejected,,0,Too_expensive,,300,1,0,0,0,0,0,0,0,0,0,1,150000,12500,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,1,"There are three 3 women who bring me Bread, Mandazi, Chapatti and Anjera and I resell them.",,,1,0,1,1,0,0,1,1,0,0,0,2,1,2,2,2,1,1,1,0,0,0,1,0,0,0,,0,,,,,0,I kindly reaquest you to be consistent and really implement this great programme,,Thank you for your time.,1,9/17/19 8:11,9/17/19 7:24,aeck_15,9/17/19 11:27,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
185,KEN-231,c481de93-9410-471f-b248-fe544937e977,Nachomo Onesmus Ome,refugee-client,kakuma3,,control_group,Mr mbula shop,cakea,Congolese,,1,51,High_school_graduate_(A2),Finished High school graduate,1,9,Self-employment/my_business,,0,0,0,1,0,0,0,0,,Retail/Fashion,Retail,,0,0,0,0,1,0,2/5/19,2/1/20,0,< 1year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,To_increase_income_independently,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_have_never_thought_about_credit_as_an_option,,0,"I_don't_need_it,_I_use_mobile_money_for_saving_and_spending_cash",,560,1,0,0,0,0,0,0,0,0,0,0,72000,6000,Yes_somewhat_fluctuating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,1,0,1,0,0,1,1,0,0,0,0,5,2,3,1,1,1,1,1,0,0,0,1,0,0,0,,0,,,,,0,we need training,,0,1,9/17/19 8:29,9/17/19 8:12,aeck_19,9/17/19 11:30,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
190,KEN-237,4aa69e43-c241-4a15-a7be-8646c019545e,Samuel Mwangangi,refugee-client,kakuma_1,,control_group,Yhaya,food products like sugar,Sudanese,,0,27,High_school_graduate_(A2),Finished High school graduate,1,0,Self-employment/my_business,,1,0,0,0,0,0,0,0,,Agribusiness_-_Food_Processing,Agribusiness,,0,1,0,0,0,0,1/15/15,2/1/20,5,4-6 years,0,2,60,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,To_increase_income_independently,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_do_not_qualify_for_credit,,0,"I_don't_need_it,_I_use_mobile_money_for_saving_and_spending_cash",,300,1,1,1,0,0,0,0,0,0,0,1,120000,10000,Yes_somewhat_fluctuating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,,,,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,0,0,0,1,0,0,0,,0,,,,,0,none,,welcome,1,9/18/19 7:53,9/18/19 7:42,aeck_15,9/18/19 13:55,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
191,KEN-238,6dc1dbe0-a674-462a-a323-98e3fb1bcf46,Samuel Mwangangi,refugee-client,kakuma_1,,control_group,Buloze Kahindo,Clothes,Congolese,,0,29,No_formal_education,No Formal Education,1,2,Self-employment/my_business,,1,0,0,0,0,0,0,0,,Retail/Fashion,Retail,,0,1,0,0,0,0,2/20/16,2/1/20,3,3 years,0,1,60,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,To_increase_income_independently,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_do_not_qualify_for_credit,,0,"I_don't_need_it,_I_use_mobile_money_for_saving_and_spending_cash",,60,1,1,1,0,0,0,0,0,0,0,0,60000,5000,Yes_strongly_fluctuating,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,,,,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0,,,,,0,none,,welcome,1,9/18/19 8:05,9/18/19 7:53,aeck_15,9/18/19 13:55,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
192,KEN-239,b53a1996-46eb-4760-882a-e2ac3c2568ab,Saida,refugee-client,kakuma_2,,control_group,Xawo Amiin,food staff,somalian,,1,62,No_formal_education,No Formal Education,1,1,Self-employment/my_business,,1,1,0,0,0,0,0,0,,Agribusiness_-_Food_Processing,Agribusiness,,0,0,0,0,1,0,1/1/10,2/1/20,10,> 6 years,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,To_increase_income_independently,,0,0,0,0,0,0,0,0,,0,0,0,0,0,_I_have_applied_but_I_was_rejected,,0,No_bank_nearby,,150,0,0,1,0,0,0,0,0,0,0,0,500000,41667,Yes_strongly_fluctuating,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0,,,,,0,no,,Thank,1,9/18/19 12:39,9/18/19 12:23,aeck_15,9/18/19 13:55,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
